timestamp,value,value_classification
1721865600,59,Neutral
1721779200,60,Greed
1721692800,63,Greed
1721606400,64,Greed
1721520000,62,Greed
1721433600,61,Greed
1721347200,57,Neutral
1721260800,57,Neutral
1721174400,58,Neutral
1721088000,57,Neutral
1721001600,48,Neutral
1720915200,45,Neutral
1720828800,41,Neutral
1720742400,40,Neutral
1720656000,40,Neutral
1720569600,40,Neutral
1720483200,37,Fear
1720396800,36,Fear
1720310400,40,Neutral
1720224000,37,Fear
1720137600,38,Fear
1720051200,45,Neutral
1719964800,48,Neutral
1719878400,49,Neutral
1719792000,49,Neutral
1719705600,45,Neutral
1719619200,44,Neutral
1719532800,46,Neutral
1719446400,45,Neutral
1719360000,46,Neutral
1719273600,44,Neutral
1719187200,49,Neutral
1719100800,51,Neutral
1719014400,51,Neutral
1718928000,52,Neutral
1718841600,52,Neutral
1718755200,52,Neutral
1718668800,55,Neutral
1718582400,55,Neutral
1718496000,54,Neutral
1718409600,53,Neutral
1718323200,55,Neutral
1718236800,58,Neutral
1718150400,56,Neutral
1718064000,60,Greed
1717977600,61,Greed
1717891200,61,Greed
1717804800,61,Greed
1717718400,65,Greed
1717632000,66,Greed
1717545600,65,Greed
1717459200,62,Greed
1717372800,60,Greed
1717286400,60,Greed
1717200000,60,Greed
1717113600,62,Greed
1717027200,61,Greed
1716940800,63,Greed
1716854400,65,Greed
1716768000,64,Greed
1716681600,65,Greed
1716595200,64,Greed
1716508800,64,Greed
1716422400,66,Greed
1716336000,68,Greed
1716249600,70,Greed
1716163200,60,Greed
1716076800,62,Greed
1715990400,62,Greed
1715904000,59,Neutral
1715817600,61,Greed
1715731200,52,Neutral
1715644800,55,Neutral
1715558400,52,Neutral
1715472000,51,Neutral
1715385600,51,Neutral
1715299200,56,Neutral
1715212800,52,Neutral
1715126400,55,Neutral
1715040000,57,Neutral
1714953600,58,Neutral
1714867200,58,Neutral
1714780800,56,Neutral
1714694400,49,Neutral
1714608000,47,Neutral
1714521600,52,Neutral
1714435200,58,Neutral
1714348800,57,Neutral
1714262400,58,Neutral
1714176000,58,Neutral
1714089600,60,Greed
1714003200,60,Greed
1713916800,64,Greed
1713830400,65,Greed
1713744000,62,Greed
1713657600,62,Greed
1713571200,60,Greed
1713484800,59,Neutral
1713398400,55,Neutral
1713312000,60,Greed
1713225600,60,Greed
1713139200,65,Greed
1713052800,61,Greed
1712966400,68,Greed
1712880000,75,Greed
1712793600,76,Greed
1712707200,75,Greed
1712620800,79,Greed
1712534400,76,Greed
1712448000,75,Greed
1712361600,74,Greed
1712275200,75,Greed
1712188800,72,Greed
1712102400,71,Greed
1712016000,79,Greed
1711929600,82,Extreme greed
1711843200,80,Extreme greed
1711756800,80,Extreme greed
1711670400,82,Extreme greed
1711584000,81,Extreme greed
1711497600,82,Extreme greed
1711411200,83,Extreme greed
1711324800,80,Extreme greed
1711238400,75,Greed
1711152000,75,Greed
1711065600,79,Greed
1710979200,82,Extreme greed
1710892800,74,Greed
1710806400,83,Extreme greed
1710720000,85,Extreme greed
1710633600,82,Extreme greed
1710547200,87,Extreme greed
1710460800,89,Extreme greed
1710374400,91,Extreme greed
1710288000,90,Extreme greed
1710201600,92,Extreme greed
1710115200,89,Extreme greed
1710028800,89,Extreme greed
1709942400,89,Extreme greed
1709856000,89,Extreme greed
1709769600,88,Extreme greed
1709683200,86,Extreme greed
1709596800,90,Extreme greed
1709510400,86,Extreme greed
1709424000,86,Extreme greed
1709337600,86,Extreme greed
1709251200,85,Extreme greed
1709164800,86,Extreme greed
1709078400,80,Extreme greed
1708992000,76,Greed
1708905600,72,Greed
1708819200,71,Greed
1708732800,70,Greed
1708646400,72,Greed
1708560000,73,Greed
1708473600,75,Greed
1708387200,74,Greed
1708300800,75,Greed
1708214400,74,Greed
1708128000,76,Greed
1708041600,76,Greed
1707955200,75,Greed
1707868800,71,Greed
1707782400,72,Greed
1707696000,68,Greed
1707609600,67,Greed
1707523200,66,Greed
1707436800,62,Greed
1707350400,59,Neutral
1707264000,56,Neutral
1707177600,55,Neutral
1707091200,55,Neutral
1707004800,56,Neutral
1706918400,57,Neutral
1706832000,57,Neutral
1706745600,56,Neutral
1706659200,57,Neutral
1706572800,59,Neutral
1706486400,55,Neutral
1706400000,55,Neutral
1706313600,55,Neutral
1706227200,49,Neutral
1706140800,50,Neutral
1706054400,50,Neutral
1705968000,49,Neutral
1705881600,56,Neutral
1705795200,57,Neutral
1705708800,57,Neutral
1705622400,56,Neutral
1705536000,61,Greed
1705449600,63,Greed
1705363200,61,Greed
1705276800,59,Neutral
1705190400,63,Greed
1705104000,63,Greed
1705017600,73,Greed
1704931200,74,Greed
1704844800,72,Greed
1704758400,74,Greed
1704672000,67,Greed
1704585600,68,Greed
1704499200,70,Greed
1704412800,70,Greed
1704326400,67,Greed
1704240000,74,Greed
1704153600,73,Greed
1704067200,68,Greed
1703980800,68,Greed
1703894400,68,Greed
1703808000,71,Greed
1703721600,73,Greed
1703635200,70,Greed
1703548800,73,Greed
1703462400,72,Greed
1703376000,74,Greed
1703289600,75,Greed
1703203200,75,Greed
1703116800,74,Greed
1703030400,71,Greed
1702944000,72,Greed
1702857600,70,Greed
1702771200,73,Greed
1702684800,73,Greed
1702598400,77,Greed
1702512000,76,Greed
1702425600,73,Greed
1702339200,74,Greed
1702252800,80,Extreme greed
1702166400,80,Extreme greed
1702080000,82,Extreme greed
1701993600,81,Extreme greed
